bgold;rgold;mblue;mred;bResult
0.318736436;0.347540044;0.498614548;0.49379222;0
0.319819234;0.27918901;0.489532401;0.498468881;1
0.26958547;0.292832584;0.479085276;0.491377845;1
0.299874656;0.342525453;0.487272236;0.506342975;1
0.325002413;0.365700504;0.514360291;0.477963144;1
0.219178266;0.233427198;0.529328445;0.511931762;1
0.277726002;0.266863018;0.475752253;0.526328437;0
0.258886906;0.275500938;0.486761451;0.511898296;0
0.32612391;0.361350384;0.515347563;0.505290031;1
0.274487732;0.290838966;0.5206629;0.489683559;0
0.226445582;0.220498935;0.502181818;0.500228787;0
0.291505749;0.282195466;0.492706034;0.48652484;0
0.283018633;0.30977009;0.48652484;0.502776983;0
0.329633803;0.308521685;0.507202959;0.482349323;1
0.27652097;0.262460214;0.43184485;0.516285063;0
0.313736038;0.339090378;0.505185181;0.495790501;0
0.438454534;0.395391091;0.473661369;0.485866267;0
0.307330263;0.283309952;0.451124865;0.485080789;1
0.280824992;0.295386935;0.49732405;0.473388167;1
0.301054744;0.334302431;0.44817097;0.514783677;0
0.259566741;0.247162685;0.495685972;0.48864158;1
0.329514556;0.321329496;0.502674863;0.4902186;1
0.293486426;0.31292619;0.504523461;0.501482887;0
0.316657362;0.326756517;0.500135828;0.449942424;1
0.236936142;0.274015161;0.480302593;0.51543798;1
0.268124679;0.288677059;0.481701532;0.504226337;0
0.361663694;0.370423032;0.49702245;0.497123603;0
0.327919841;0.349392304;0.500288404;0.483174362;1
0.314295523;0.291291855;0.484167796;0.464940409;1
0.311511259;0.308022848;0.51037762;0.533678084;0
0.354086992;0.311798254;0.498234375;0.493228624;0
0.351974722;0.310604459;0.521127379;0.492063853;0
0.32269153;0.29540814;0.517252896;0.503196049;0
0.312671999;0.338008028;0.487696264;0.51583995;1
0.37978239;0.429244902;0.491191153;0.485371108;0
0.295967061;0.267048435;0.471457724;0.501476933;1
0.320687805;0.303497192;0.513348553;0.482379228;1
0.430267541;0.37588935;0.483673421;0.500740613;1
0.291404584;0.323043009;0.48322734;0.51231628;1
0.288527981;0.272887137;0.494286946;0.473158019;1
0.288731338;0.262190662;0.506160119;0.51394806;0
0.349785903;0.317271164;0.50695135;0.517028636;0
0.352387584;0.309923355;0.502900284;0.498642363;1
0.276162922;0.305119526;0.504742704;0.487275754;1
0.353918134;0.369447272;0.510660254;0.508030161;1
0.265996508;0.258605415;0.487728422;0.50915483;0
0.324401913;0.3053373;0.488182131;0.499647808;1
0.268067491;0.277844824;0.492465743;0.502780517;1
0.349127269;0.312065214;0.506457799;0.513393446;1
0.30115848;0.343404341;0.513211479;0.49830334;1
0.369507502;0.330617022;0.504100862;0.494311636;0
0.309784191;0.298077341;0.50487412;0.53643988;0
0.337407935;0.344033083;0.50373931;0.508086105;1
0.345339068;0.315544382;0.491917456;0.511195759;1
0.315539777;0.300948987;0.463837905;0.503486269;0
0.257969116;0.280155125;0.49668771;0.520724102;1
0.350206642;0.314256692;0.486383682;0.488988187;0
0.314658059;0.336191596;0.498212943;0.510232948;1
0.252499006;0.269362622;0.491703076;0.471491602;1
0.357850201;0.333333803;0.49951898;0.505971115;0
0.234515166;0.235724854;0.502940576;0.484241812;1
0.303888673;0.340751754;0.488184915;0.506526682;1
0.307324473;0.281077132;0.477915472;0.494252013;0
0.274828913;0.291863656;0.486151631;0.498268742;1
0.297099825;0.331553643;0.48914462;0.499769673;0
0.330989447;0.353734957;0.483255656;0.520799742;0
0.323830753;0.354991655;0.494182075;0.486411753;1
0.312365628;0.339641021;0.473312015;0.507449653;0
0.270404342;0.272991541;0.494642743;0.482677512;0
0.329121139;0.310704119;0.474401483;0.502397766;1
0.339194796;0.33838221;0.475636769;0.49692741;0
0.290378009;0.273810039;0.480483249;0.462301504;0
0.280559961;0.286856308;0.48196773;0.532978452;0
0.330718454;0.323314899;0.502031173;0.491526209;0
0.263362629;0.261280196;0.482898877;0.507972;0
0.369666386;0.340148199;0.501854939;0.479660114;0
0.226729447;0.246261922;0.495631682;0.488340528;1
0.305866552;0.283608171;0.519929214;0.490689825;1
0.275328187;0.30396892;0.50773194;0.507809469;1
0.338307099;0.314917436;0.487841039;0.482369143;0
0.221195445;0.215450823;0.491795892;0.488540883;1
0.339455323;0.317402181;0.49840057;0.470641542;1
0.318797033;0.295192351;0.52688425;0.496663857;1
0.308219207;0.334068328;0.481687239;0.510295007;0
0.246761445;0.274673195;0.499855352;0.495413283;1
0.274946274;0.285902319;0.514080497;0.479950303;0
0.285708569;0.295619339;0.478702273;0.49827865;1
0.362440232;0.33793111;0.516692896;0.487585111;1
0.357736543;0.322081377;0.515899923;0.507021932;1
0.304582404;0.311648533;0.541660159;0.476946912;1
0.310626209;0.290278178;0.494756427;0.498633496;0
0.270928455;0.267007137;0.529385719;0.505042547;0
0.309245653;0.28680478;0.501426551;0.482655603;0
0.315059689;0.351178024;0.491966328;0.505621446;0
0.379975098;0.342958257;0.50032537;0.501597708;1
0.261816317;0.274762992;0.480068201;0.509938019;1
0.281000808;0.300671046;0.494414075;0.494533149;0
0.312212791;0.300280623;0.503706421;0.516532071;1
0.282166692;0.298973985;0.508530659;0.486985562;1
0.335940807;0.304123267;0.522330091;0.509556524;1
0.228529458;0.212302772;0.486245744;0.506546571;0
0.283081298;0.266924451;0.519085792;0.50496002;1
0.269892315;0.286600405;0.497995932;0.507541181;0
0.265947119;0.278835392;0.491262305;0.519924809;0
0.267497923;0.283838837;0.490280997;0.474913931;1
0.254778492;0.241480608;0.487487882;0.483517734;0
